,1stServesIn,1stWon,2ndWon,win
1051,45,87,51,1
1052,69,70,57,1
1053,57,90,52,1
1054,50,82,55,1
1055,48,90,55,1
1056,55,88,48,1
1057,52,87,68,1
1058,60,86,39,1
1059,57,81,50,1
1060,58,74,40,1
1061,50,71,48,1
1062,35,78,76,1
1063,53,80,44,1
1064,61,63,58,1
1065,47,83,70,1
1066,47,89,66,1
1067,76,72,63,1
1068,59,79,34,1
1069,70,68,52,1
1070,60,67,52,1
1071,50,77,61,1
1072,45,85,48,1
1073,49,65,52,1
1074,65,67,40,1
1075,70,65,44,1
1076,52,69,50,1
1077,58,61,52,1
1078,67,75,48,1
1079,53,80,63,1
1080,73,79,38,1
1081,49,69,49,1
1082,36,86,48,1
1083,57,64,51,1
1084,55,75,53,1
1085,64,86,62,1
1086,52,72,65,1
1087,47,80,56,1
1088,56,82,68,1
1089,45,68,59,1
1090,50,71,51,1
1091,46,74,51,1
1092,59,83,40,1
1093,58,67,45,1
1094,51,73,51,1
1095,53,83,56,1
1096,65,78,41,1
1097,51,75,42,1
1098,63,75,43,1
1099,64,71,36,1
1100,53,80,64,1
1101,54,71,60,1
1102,67,69,61,1
1103,76,63,44,1
1104,51,74,55,1
1105,67,72,52,1
1106,65,58,72,1
1107,56,88,73,1
1108,53,82,62,1
1109,70,70,55,1
1110,66,62,50,1
1111,49,75,64,1
1112,80,60,50,1
1113,40,72,72,1
1114,67,71,51,1
1115,65,78,60,1
1116,75,66,52,1
1117,38,81,53,1
1118,67,70,53,1
1119,59,73,55,1
1120,48,89,41,1
1121,58,62,36,1
1122,53,74,40,1
1123,61,58,51,1
1124,58,67,48,1
1125,42,70,60,1
1126,51,76,45,1
1127,51,71,50,1
1128,51,64,50,1
1129,66,78,62,1
1130,56,61,57,1
1131,70,78,43,1
1132,67,65,55,1
1133,63,50,61,1
1134,75,73,30,1
1135,56,76,50,1
1136,83,77,71,1
1137,56,66,45,1
1138,57,64,36,1
1139,62,63,42,1
1140,34,93,71,1
1141,55,76,52,1
1142,78,68,64,1
1143,84,81,66,1
1144,63,75,56,1
1145,41,66,50,1
1146,46,78,62,1
1147,59,67,52,1
1148,71,75,62,1
1149,63,70,44,1
1150,55,68,76,1
1151,60,65,48,1
1152,65,77,62,1
1153,48,78,50,1
1154,45,78,55,1
1155,70,65,48,1
1156,80,75,77,1
1157,53,73,61,1
1158,52,71,60,1
1159,62,73,50,1
1160,42,84,69,1
1161,44,85,61,1
1162,50,76,54,1
1163,69,78,75,1
1164,49,82,62,1
1165,57,77,60,1
1166,64,70,45,1
1167,78,74,46,1
1168,61,74,48,1
1169,58,76,59,1
1170,65,67,31,1
1171,57,85,56,1
1172,45,81,65,1
1173,56,75,42,1
1174,61,72,53,1
1175,69,63,64,1
1176,50,74,63,1
1177,62,67,55,1
1178,76,78,41,1
1179,66,83,66,1
1180,46,80,58,1
1181,57,71,58,1
1182,43,80,66,1
1183,62,80,57,1
1184,53,88,60,1
1185,71,72,63,1
1186,69,63,46,1
1187,57,72,50,1
1188,57,77,53,1
1189,71,73,45,1
1190,63,73,45,1
1191,57,79,58,1
1192,58,61,41,1
1193,59,84,35,1
1194,57,83,66,1
1195,62,69,47,1
1196,60,80,55,1
1197,61,74,44,1
1198,44,76,67,1
1199,55,83,57,1
1200,60,70,79,1
1201,80,63,72,1
1202,57,61,51,1
1203,65,80,56,1
1204,64,71,61,1
1205,57,80,50,1
1206,53,71,42,1
1207,63,78,81,1
1208,47,62,57,1
1209,71,55,54,1
1210,56,65,59,1
1211,53,77,54,1
1212,51,85,50,1
1213,64,61,42,1
1214,47,90,51,1
1215,52,74,51,1
1216,75,74,66,1
1217,73,70,50,1
1218,60,72,38,1
1219,68,64,47,1
1220,50,82,59,1
1221,68,69,66,1
1222,63,83,61,1
1223,55,77,50,1
1224,52,90,57,1
1225,56,74,42,1
1226,40,73,62,1
1227,50,87,54,1
1228,71,64,67,1
1229,45,73,57,1
1230,67,61,58,1
1231,67,65,47,1
1232,70,70,69,1
1233,73,68,38,1
1234,47,52,78,1
1235,69,81,52,1
1236,58,75,64,1
1237,59,72,55,1
1238,57,86,70,1
1239,63,83,50,1
1240,59,75,68,1
1241,62,64,59,1
1242,78,76,38,1
1243,60,83,65,1
1244,62,69,51,1
1245,78,76,50,1
1246,58,88,66,1
1247,43,71,48,1
1248,65,85,86,1
1249,59,70,43,1
1250,49,77,61,1
1251,65,68,62,1
1252,52,100,76,1
1253,63,69,56,1
1254,70,71,62,1
1255,62,69,68,1
1256,74,69,34,1
1257,50,73,58,1
1258,76,77,46,1
1259,58,65,73,1
1260,72,67,61,1
1261,65,73,32,1
1262,59,71,61,1
1263,69,74,47,1
1264,53,82,43,1
1265,37,77,70,1
1266,63,80,66,1
1267,56,77,54,1
1268,73,83,66,1
1269,52,64,62,1
1270,64,62,52,1
1271,54,79,53,1
1272,46,77,61,1
1273,74,75,69,1
1274,63,72,51,1
1275,54,78,46,1
1276,57,88,42,1
1277,66,70,52,1
1278,48,71,57,1
1279,52,78,62,1
1280,67,69,56,1
1281,61,90,38,1
1282,52,69,48,1
1283,66,88,44,1
1284,48,89,80,1
1285,54,91,63,1
1286,35,81,58,1
1287,57,72,54,1
1288,63,80,47,1
1289,61,81,57,1
1290,64,65,51,1
1291,55,68,57,1
1292,62,69,55,1
1293,64,64,50,1
1294,44,78,48,1
1295,50,71,57,1
1296,59,94,76,1
1297,51,82,48,1
1298,65,85,86,1
1299,61,80,54,1
1300,51,77,54,1
1301,53,67,62,1
1302,68,68,53,1
1303,67,69,53,1
1304,50,75,46,1
1305,55,75,52,1
1306,75,81,31,1
1307,41,82,46,1
1308,68,79,50,1
1309,48,70,72,1
1310,52,78,44,1
1311,53,77,48,1
1312,50,83,52,1
1313,42,81,49,1
1314,62,78,61,1
1315,46,84,63,1
1316,43,78,70,1
1317,48,79,51,1
1318,71,72,53,1
1319,59,80,70,1
1320,57,74,51,1
1321,46,81,64,1
1322,61,100,42,1
1323,54,77,58,1
1324,58,83,66,1
1325,54,75,45,1
1326,66,84,70,1
1327,58,70,38,1
1328,45,71,58,1
1329,56,84,69,1
1330,60,82,47,1
1331,46,85,53,1
1332,48,79,54,1
1333,51,81,60,1
1334,46,72,67,1
1335,69,62,57,1
1336,50,80,56,1
1337,46,71,56,1
1338,44,75,65,1
1339,69,80,50,1
1340,42,82,61,1
1341,43,82,60,1
1342,52,88,62,1
1343,47,75,61,1
1344,60,80,47,1
1345,61,73,42,1
1346,58,82,81,1
1347,57,66,68,1
1348,51,77,65,1
1349,50,68,51,1
1350,39,77,57,1
1351,36,75,45,1
1352,53,81,39,1
1353,65,77,65,1
1354,49,82,44,1
